មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
អវលោកនៈ,"[ʔaʔveaʔloukaʔnaʔ] <br>1). n watching
ញ៉ាំ,"[ɲam] <br>1a). v to eat
រាជទេពី,"[riec teepii] [[រាជ]] [[ទេពី]] <br>1). king's first legal wife See: រាជទេវី "
សុតមយប្បញ្ញា,"[------ ------] [[សុតមយ]] [[បញ្ញា]] <br>1). knowledge acquired by listening "
រើអៀង,"[rəə ʔiǝŋ] [[រើ]] [[អៀង]] <br>1). to chew a cud (of animals) "
ថ្មភ្នំ,"[tmɑɑ pnum] [[ថ្ម]] [[ភ្នំ]] <br>1). granite "
ជារណការ,"[ciereaʔnaʔkaa] <br>1). n oxygenation "
ខ្លាចចិត្ត,"[klaac cət] [[ខ្លាច]] [[ចិត្ត]] <br>1). to be respectful / deferential toward
សុខុមសត្ត,"[soʔkʰom sattaʔ] [[សុខុម]] [[សត្ត]] <br>1). See: សុខុមជាតិ "
ស្លៀកពាក់,"[sliǝk peak] [[ស្លៀក]] [[ពាក់]] <br>1). to dress
ភ័យរអើល,"[pʰey rɔʔaəl] [[ភ័យ]] [[រអើល]] <br>1). to be afraid
គ្រលួង,"[krɔluəŋ] <br>1). adj to be big
ម្រឹត្យុសយ្យា,"[mrɨtyuʔ sayyaa] [[ម្រឹត្យុ]] [[សយ្យា]] <br>1). death bed "
គ្រលួច,"[krɔluəc] <br>1). adj (of a sound) to be sharp
អង្គនា,"[ʔɑŋkeaʔnie] <br>1). n woman
ក្អាត់,"[kʔat] <br>1). n tadpole <br>2). n braggart "
ដើរស្រាវជើង,"[daə sraav cəəŋ] [[ដើរ]] [[ស្រាវ]] [[ជើង]] <br>1). to walk quickly taking high steps "
មនុស្សត្រកូលទាប,"[mɔnuh~meaʔnuh~mɔnɨh trɑkool tiep] [[មនុស្ស]] [[ត្រកូល]] [[ទាប]] <br>1). person of low birth "
ផ្លូវជើង,"[pləv cəəŋ] [[ផ្លូវ]] [[ជើង]] <br>1). path "
ភុជិស្សភាព,"[pʰuʔcihsaʔ pʰiep] [[ភុជិស្ស]] [[ភាព]] <br>1). See: ភុជិស្សតា "
ជើងស្រម,"[cəəŋ sraa mɔɔ] [[ជើង]] [[ស្រ]] [[ម]] <br>1). the four Brahman priests who formerly organized royal rituals "
អក្ខរតូលិកា,"[--i4-- ] [[អក្ខរតូលិកា]] <br>1). (writing) pen "
បរិបូរណ៍,"[bɑɑreʔboo] <br>1). n abundance
ហកសំដី,"[haak sɑmdəy] [[ហក]] [[សំដី]] <br>1). to let out a secret
ពុរពង,"[puu~pul pɔɔŋ] [[ពុរ]] [[ពង]] <br>1). to blister
អាយ៉ៃរឿង,"[ʔaayay rɨəŋ] [[អាយ៉ៃ]] [[រឿង]] <br>1). story sung in such a style "
វីរបុរស,"[viireaʔ boʔrɑh] [[វីរ]] [[បុរស]] <br>1). hero "
ភ័យផ្អែមមាត់,"[pʰey pʔaem moat] [[ភ័យ]] [[ផ្អែមមាត់]] <br>1). to be terrified
អាហារភោជន,"[ʔaahaa pʰoocʊən] [[អាហារ]] [[ភោជន]] <br>1). food "
ម៉ោងជាង,"[maoŋ cieŋ] <br>1). n kind of grass (Heliotropium indicum) with thick wrinkled leaves which are used to prepare a vermifuge;<br> the flowers resemble a rolled-up elephant's trunk Chinese See: ដើម ប្រមោយដំរី "
មុខមាត់,"[muk moat] [[មុខ]] [[មាត់]] <br>1). influence;<br> face;<br> facial expression
ស្កាត់,"[skat] <br>1). v to intercept
អ្នកស្រុកដើម,"[neak srok daəm] [[អ្នកស្រុក]] [[ដើម]] <br>1). aboriginal population "
មិនកើតខ្មោចអ្វីទេ,"[mɨn kaət kmaoc ʔvǝy tee] [[មិនកើត]] [[ខ្មោច]] [[អ្វី]] [[ទេ]] <br>1). See: គ្មានបានខ្មោចអ្វីទេ "
ភានុ,"<br>1). See: ភាណុ "
គ្រូបង្ហាត់ការសិក្សាតិកនិក,"[kruu bɑŋhat kaa sǝksaa ------] [[គ្រូ]] [[បង្ហាត់]] [[ការ]] [[សិក្សា]] [[Lតិកនិក]] <br>1). technical-education instructor "
ឳទឹន,"[ʔəv tɨn] <br>1). n kind of jar / pot with a small opening and a bulging middle (it is used for the storage of alcohol or fish sauce) Chinese "
អានុភាព,"[ʔaanuʔpʰiep] <br>1). n power
វប្បករ,"[voappaʔ kɑɑ] [[វប្ប]] [[ករ]] <br>1). sower See: វប្បការិកា
គួរទុកចិត្ត,"[kuə ------ cət] [[គួរ]] [[ទុក]] [[ចិត្ត]] <br>1). to be trustworthy "
មលមោចនា,"[meaʔleaʔmoucaʔnaa] <br>1). n secretion "
តាមមើល,"[taam məəl] [[តាម]] [[មើល]] <br>1). to shadow / follow / track (someone) "
ពឹងផ្អែក(ទៅលើ),"<br>1). to depend (on)
ក្មេងមានរបប,"[kmeɛŋ mien rɔbɑɑp] [[ក្មេង]] [[មានរបប]] <br>1). well-behaved child "
មេថុនធម្ម,"[meetʰon tʰoammeaʔ~tʰoam] [[មេថុន]] [[ធម្ម]] <br>1). See: មេថុនកម្ម "
សុធម្មា,"[soʔtʰoammie] <br>1). n Sudhammā (name of one of Indra's wives;<br> Indra's four main wives were: សុធម្មា
ទៅវាស់ដីទុក,"[tɨv~toh voah dəy ------] [[ទៅ]] [[វាស់ដី]] [[ទុក]] <br>1). to die (of someone who has already been buried) "
សិលាបុព្វជាតិ,"[seʔlaa boppeaʔ ciet] [[សិលា]] [[បុព្វជាតិ]] <br>1). primitive rock (rock created at the same time as the earth) "
ប្រយុទ្ធនឹងគ្រោះមិនចេះអក្សរ,"[prɑyut nɨŋ krʊək mɨn ceh ʔaksɑɑ] [[ប្រយុទ្ធ]] [[នឹង]] [[គ្រោះ]] [[មិន]] [[ចេះ]] [[អក្សរ]] <br>1). to combat illiteracy "
បញ្ជាន់ស្រូវ,"[bɑɲcoan srǝv] [[បញ្ជាន់]] [[ស្រូវ]] <br>1). to thresh rice by laying it out on the threshing floor and letting cattle / water buffalo walk over it or driving a small tractor over it "
បេការ៉ង់អង,"<br>1). See: បេសែសិបមួយ "
ថលមគ្គ,"[tʰaʔlaʔ meak] [[ថល]] [[មគ្គ]] <br>1). See: ថលចរណ៍ "
ពហូសូត,"[------ soot] [[ពហូ]] [[សូត]] <br>1). See: ពហុស្សូត "
ធុំឈ្ងៀម,"[tʰum cŋiəm] [[ធុំ]] [[ឈ្ងៀម]] <br>1). to smell as if burning
គ្មានទៅស្អីទេ,"[kmien tɨv~toh sʔǝy tee] [[គ្មាន]] [[ទៅ]] [[ស្អី]] [[ទេ]] <br>1). it will be all right "
ចង្កូមស្កា,"[cɑŋkoom skaa] [[ចង្កូម]] [[ស្កា]] <br>1). kind of small edible plant with round leaves and small thorns "
ប្រៀនប្រដៅ,"[priən prɑdav] [[ប្រៀន]] [[ប្រដៅ]] <br>1). to advise <br>#..). to preach (at)
អាចិណ្ណហិរញ្ញ,"[ʔaacennaʔ heʔraɲ] [[អាចិណ្ណ]] [[ហិរញ្ញ]] <br>1). savings "
ជ្រមុជជ្រមិន,"[crɔmuc ------] [[ជ្រមុជ]] [[Pជ្រមិន]] <br>1). to submerge someone's head down in the water playfully
អាបធ្មប់,"[ʔaap tmup] [[អាប]] [[ធ្មប់]] <br>1). black magic "
សត្តលោក,"[sattaʔ look~lookaʔ] [[សត្ត]] [[លោក]] <br>1). animal world
ជីដូនភូត,"[cii doon pʰuut] [[ជីដូន]] [[ភូត]] <br>1). benevolent spirit;<br> will-of-the wisp "
ម្រាមនាង,"[mriem nieŋ] [[ម្រាម]] [[នាង]] <br>1). kind of tree (Fagraea ceilanica) See: ដើមម្រាមនាង "
សង្ឃិកវត្ថុ,"[sɑŋkʰik voattʰoʔ] [[សង្ឃិក]] [[វត្ថុ]] <br>1). See: សង្ឃិកភណ្ឌ "
ព្រះអន្លក់,"[preah ʔɑnlʊək] [[ព្រះ]] [[អន្លក់]] <br>1). kind of vegetable "
ប្រែកប្រោក,"[praek - praok] <br>1). i rustling sound made by walking on dry leaves "
គំនង,"[kumnɔɔŋ] <br>1). n placing one thing over another "
បែបចង់,"[baep cɑŋ] [[បែប]] [[ចង់]] <br>1). to appear as if
ថ្នាំក្រហម,"[tnam krɑhɑɑm] [[ថ្នាំ]] [[ក្រហម]] <br>1). Mercurochrome
ឫសដូង,"[rɨh dooŋ] [[ឫស]] [[ដូង]] <br>1). coconut root <br>2). generic term for several kinds of sores or ulcers;<br> polyp "
បន្សុទ្ធ,"[bɑnsot] <br>1). v to purge
ជើងស្រី,"[cəəŋ srǝy] [[ជើង]] [[ស្រី]] <br>1). playboy "
រណសភា,"[rɔɔ nɑɑ saʔpʰie] [[រ]] [[ណ]] [[សភា]] <br>1). war council "
កង្ខា,"[kɑŋkʰaa] <br>1). n doubt
ក្រពុំ,"[krɑpum] <br>1a). adj to be ripe
ទំនឹម,"[tumnɨm] <br>1). n figurative expression;<br> proverb;<br> metaphor;<br> saying
កន្ត្រ,"[kɑntrɑɑ] <br>1). n wheelless pulley "
ញាំញី,"[ɲoam - ɲii] <br>1). v to abuse;<br> to persecute;<br> (of a disease) to ravage
លើកយក,"[lǝǝ kɑɑ yɔɔ kɑɑ] [[លើក]] [[យក]] <br>1). to pick up
យកខ្លួនពាំង,"[yɔɔ kɑɑ kluən peaŋ] [[យក]] [[ខ្លួន]] [[ពាំង]] <br>1). to protect someone by using one's body as a shield or by taking the blame "
ភាសាកណ្ដាល,"[pʰiesaa kɑndaal] [[ភាសា]] [[កណ្ដាល]] <br>1). lingua franca "
វាលសំណឹក,"[viel sɑmnǝk] [[វាល]] [[សំណឹក]] <br>1). peneplain "
រទេះសាឡី,"[rɔteh ------] [[រទេះ]] [[សាឡី]] <br>1). kind of large roofless ox cart used for hauling logs and for racing (larger than រទេះបំបោល ) See: រទេះសាលី "
អារោចនកថា,"[ʔaaraocaʔnaʔ kaʔtʰaa] [[អារោចន]] [[កថា]] <br>1). information
ពិធីលៀងអារក្ខ,"[piʔtʰii liǝŋ ʔaarak~ʔaareak] [[ពិធី]] [[លៀងអារក្ខ]] <br>1). ceremony to propitiate a spirit "
ធម្មានុរូបនីយកម្ម,"[tʰoammienuʔruup nii yɔɔ kam~kammeaʔ or kammaʔ] [[ធម្មានុរូប]] [[នី]] [[យ]] [[កម្ម]] <br>1). legitimization "
ស្រីរោង,"[srǝy rooŋ] [[ស្រី]] [[រោង]] <br>1). prostitute "
សម្ពាធគ្រឹះ,"[sampiet krɨh] [[សម្ពាធ]] [[គ្រឹះ]] <br>1). small house;<br> crowded house "
ពួកភូត,"[puək pʰuut] [[ពួក]] [[ភូត]] <br>1). all beings (natural and supernatural) "
ទាំងពួង,"[teaŋ puəŋ] [[ទាំង]] [[ពួង]] <br>1). all (of)
ផែនការខ្លី,"[pʰaenkaa kləy] [[ផែនការ]] [[ខ្លី]] <br>1). short-term planning "
ពងបង្គួយ,"[pɔɔŋ ------ ] [[ពង]] [[បង្គួយ]] <br>1). rice that is not well cooked See: បាយពងបង្គួយ "
បំផ្លើស,"[bɑmplaəh] <br>1a). v to magnify
ប្រេងហ្វ្រាំង,"[preɛŋ ------ ] [[ប្រេង]] [[ហ្វ្រាំង]] <br>1). brake fluid "
ទឹកស៊ីរ៉ូប៍,"[tɨk siiroo] [[ទឹក]] [[ស៊ីរ៉ូប៍]] <br>1). syrup "
ខាងមុខ,"[kʰaaŋ muk] [[ខាង]] [[មុខ]] <br>1). in front of<br>#..). in front;<br> coming
ចិនឡា,"<br>1). See: ចេនឡា "
ឆ្អឹងក្រលៀន,"[cʔəŋ krɑliən] [[ឆ្អឹង]] [[ក្រលៀន]] <br>1). hip bone "
ស្រពាប់,"[srɑpoap] <br>1). adj to be dried (off)
ពិលាស័យ,"[piʔliesay] <br>1). n animals that live in holes or burrows "
គំរិះ,"[kumrih] <br>1). adj to be miserly
មេស្មិង,"[mee smǝŋ] [[មេ]] [[ស្មិង]] <br>1). (spiritual) medium "
ធុំឈ្ងុយឈ្ងប់,"[tʰum cŋuy cŋup] [[ធុំ]] [[ឈ្ងុយឈ្ងប់]] <br>1). to smell very strong
គំនម,"[kumnɔɔm] <br>1). n hunchback
ឧតុបរិយោសាន,"[ʔuʔtoʔ paʔreʔyaosaan] [[ឧតុ]] [[បរិយោសាន]] <br>1). end of a season "
ឧ.,"[NOIPA] <br>1). abbreviation for ឧទាហរណ៍ `(for) example' "
គំនរ,"[kumnɔɔ] <br>1). n pile
ឧបឃាតកកម្ម,"[ʔuʔpaʔkʰiet kɑɑ kam~kammeaʔ or kammaʔ] [[ឧបឃាតក]] [[កម្ម]] <br>1). killing "
ប្រឹងរមាត់និយាយ,"[prəy rɔmoat niʔyiey] [[ប្រឹង]] [[រមាត់]] [[និយាយ]] <br>1). to try to say (something)
នាគាធិបតី,"[niekie ------ ] [[នាគា]] [[ធិបតី]] <br>1). Nāgādhipatī (King of the Nagas;<br> King of the West
ប្រាជ្ញក្នុង,"[praac knoŋ] [[ប្រាជ្ញ]] [[ក្នុង]] <br>1). to be highly intelligent but unable to set forth one's ideas clearly "
កំណូត,"[kɑmnoot] <br>1). n corrosion "
ព្រះករុណាជាម្ចាស់ជីវិត,"[preah kaʔruʔnaa cie mcah ciivɨt] [[ព្រះករុណា]] [[ជា]] [[ម្ចាស់]] [[ជីវិត]] <br>1). you (used by a monk addressing the king) "
ចំបក់ប្រង,"[cɑmbɑk prɑ- ŋɔɔ] [[ចំបក់]] [[ប្រ]] [[ង]] <br>1). kind of tree (Elaeocarpus lacunosus;<br> the bark is used as a remedy for skin diseases) "
កីឡដ្ឋាន,"<br>1). See: កីឡាដ្ឋាន "
ទំពាអៀង,"[tumpie ʔiǝŋ] [[ទំពា]] [[អៀង]] <br>1). to chew the cud "
នៅអេ,"[nɨv ------ ] [[នៅ]] [[អេ]] <br>1). to be left over
កន្ទុយចង្ក្រាន,"[kɑntuy ------] [[កន្ទុយ]] [[ចង្ក្រាន]] <br>1). open end of a Cambodian stove "
ចង្កេះមូលក្លំ,"[cɑŋkeh muul klɑm] [[ចង្កេះ]] [[មូល]] [[ក្លំ]] <br>1). shapely waist "
ព្រះបរមវង្សា,"[preah bɑrom vʊəŋsaa] [[ព្រះ]] [[បរម]] [[វង្សា]] <br>1). royal family "
បញ្ចទេព,"[paɲcaʔ teep] [[បញ្ច]] [[ទេព]] <br>1). the five kinds of deities: 1) បុព្វទេព ancient gods
អ្នកបរ(រទេះ),"<br>1). driver
បពិត្រ,"[bɑpɨt] <br>1). n Lord ...
ភាន់,"[pʰoan] <br>1a). v to err
បង្ករឿង,"[bɑŋkɑɑ rɨəŋ] [[បង្ក]] [[រឿង]] <br>1). to cause trouble
កាំភ្លើងវែង,"[kampləəŋ vɛɛŋ] [[កាំភ្លើង]] [[វែង]] <br>1). rifle "
សក់ខ្មៅញាប់,"[sɑk kmav ɲoap] [[សក់]] [[ខ្មៅ]] [[ញាប់]] <br>1). jet-black hair "
ឈូកត្រាញ់,"[cʰuuk traɲ] [[ឈូក]] [[ត្រាញ់]] <br>1). wild heliotrope "
ប្រាសព្រាត់,"[praah proat] [[ប្រាស]] [[ព្រាត់]] <br>1). to be separated;<br> to part (esp. of lovers parting for ever) See: ព្រាត់ប្រាស "
មាសព្រៃ,"[mieh prey] [[មាស]] [[ព្រៃ]] <br>1). kind of medicinal vine (Cassytha filiformis) See: វល្លិមាសព្រៃ "
ចៅហ្វាយក្រុង,"[cav faa yɔɔ kroŋ] [[ចៅហ្វាយ]] [[ក្រុង]] <br>1). mayor "
មន្ត្រីខែត្រ,"[mʊəntrəy kʰaet] [[មន្ត្រី]] [[ខែត្រ]] <br>1). provincial civil servant "
ស្គាក្រអូប,"[skie krɑʔoop] [[ស្គា]] [[ក្រអូប]] <br>1). kind of grass with fragrant roots which are used to perfume hair oil "
រលាកសរសៃឈាមខ្មៅ,"[rɔliek sɑɑ say cʰiem kmav] [[រលាក]] [[សរសៃឈាមខ្មៅ]] <br>1). phlebitis "
ច្រវាក់កង់,"[crɑvak kaŋ] [[ច្រវាក់]] [[កង់]] <br>1). bicycle chain "
ស្ថិត,"[stʰət
យសុម្មត្ត,"[yʊəhsommat] <br>1). n megalomaniac "
ទានព,"[tienup] <br>1). n the Danavas (in Indian mythology
កំណប់រ៉ែ,"[kɑmnɑp rae] [[កំណប់]] [[រ៉ែ]] <br>1). mineral reserves "
កាប់ដី,"[kap dəy] [[កាប់]] [[ដី]] <br>1). to hoe
ក្បួនអត្តៈ,"[kbuən ʔattaʔ ] [[ក្បួន]] [[អត្តៈ]] <br>1). fortunetelling book "
ពត់ខ្លួន,"[pʊət kluən] [[ពត់]] [[ខ្លួន]] <br>1). to stretch oneself "
បរលោក,"[bɑɑrəlouk
កញ្ឆតកញ្ឆិត,"[kɑɲcʰɑɑt kɑɲcʰət] [[កញ្ឆត]] [[កញ្ឆិត]] <br>1). to be crushed
មែកខាងមាតា,"[mɛɛk kʰaaŋ miedaa] [[មែក]] [[ខាង]] [[មាតា]] <br>1). maternal family line "
ប្លែកៗ,"[plaek - plaek] <br>1). adj to be different from one another "
ក្ដារខៀន,"[kdaa kʰiən] [[ក្ដារ]] [[ខៀន]] <br>1). blackboard "
សងចំពាក់,"[sɑɑŋ cɑmpeak] [[សង]] [[ចំពាក់]] <br>1). to repay / pay off a debt "
ស្រីពីងពាង,"[srǝy piiŋ-pieŋ] [[ស្រី]] [[ពីងពាង]] <br>1). prostitute "
នាគមាណវី,"[niek mieneaʔvii] [[នាគ]] [[មាណវី]] <br>1). Naga's daughter in human form See: នាគមាណវិកា "
ងប់ងុល,"[ŋup ------ ] [[ងប់]] [[ងុល]] <br>1). to be completely obsessed with;<br> obsessively ...បានស្រឡាញ់ងប់ងុលនិងបវរកញ្ញាម្នាក់ was completely infatuated with a beauty queen. "
ខ្សឹកខ្សួល,"[ksək - ksuəl] <br>1a). i sound of sobbing. <br>1b). v to sob
កំហូច,"[kɑmhooc] <br>1a). n corruption
រណការ,"[rɔɔ nɑɑ kaa] [[រ]] [[ណ]] [[ការ]] <br>1). See: រណកម្ម "
រាំងរំហួត,"[reaŋ rumhuət] [[រាំង]] [[រំហួត]] <br>1). drought "
លិខិតអនុញ្ញាត,"[liʔkʰət ʔaʔnuɲɲaat] [[លិខិត]] [[អនុញ្ញាត]] <br>1). written authorization;<br> pass
អនិបុណីយ,"[ʔaʔniʔpoʔnəy] <br>1). adj to be incomplete
សិព្វនកម្ម,"[seppeaʔneaʔ kam~kammeaʔ or kammaʔ] [[សិព្វន]] [[កម្ម]] <br>1). See: សិព្វន "
ទុតិយ,"[tuʔteʔyaʔ] <br>1). adj to be second <br>2). n son;<br> friend
ស្ថិរ,"[stʰeʔraʔ] <br>1). adj to be long-lasting
ផ្ទុះងាប់,"[ptuh ŋoap] [[ផ្ទុះ]] [[ងាប់]] <br>1). to be blown to bits "
រអាករពាយ,"[rɔʔaak - rɔpiey] <br>1). adj to be warm
ផ្លា,"<br>1). See: ផ្លាញ (1) "
ចុះមួល,"[coh muəl] [[ចុះ]] [[មួល]] <br>1). to have dysentery "
លំហួត,"[lumhuət] <br>1). n engraved design
គណនីទោហនកម្ម,"[keaʔnaʔnii toohaʔnaʔkam] [[គណនី]] [[ទោហនកម្ម]] <br>1). exploitation account (account based on the profit or loss of a railroad business) "
សំបុត្របណ្ដេញ,"[sɑmbot bɑndəɲ] [[សំបុត្រ]] [[បណ្ដេញ]] <br>1). certificate of expulsion "
ស្លាក់ខ្យល់ចង្កេះ,"[slak kyɑl~kcɑl cɑŋkeh] [[ស្លាក់]] [[ខ្យល់]] [[ចង្កេះ]] <br>1). to have lower back pain "
ស្បូនក្រាប,"[sboon kraap] [[ស្បូន]] [[ក្រាប]] <br>1). See: ស្បូនស្រុត "
ចង្វែកជើង,"[cɑŋvaek cəəŋ] [[ចង្វែក]] [[ជើង]] <br>1). space between toes "
ចាំជាតិ,"[cam ciet] [[ចាំ]] [[ជាតិ]] <br>1). to remember a past life "
និក្ខិតភណ្ឌទិដ្ឋា,"[nikkʰettaʔpʰoan ------] [[និក្ខិតភណ្ឌ]] [[Aទិដ្ឋា]] <br>1). collateral security that the owner can withdraw at any time "
ជំនុំជំរះតាមច្បាប់,"[cumnum cumreah taam cbap] [[ជំនុំជំរះ]] [[តាមច្បាប់]] <br>1). to judge according to the law "
សិរតាណ,"[see taa nɑɑ] [[សិរ]] [[តា]] [[ណ]] <br>1). head-protecting device (anything used as a protective covering for the head such as a hat
ប័ណ្ណសំគាល់ខ្លួន,"[ban sɑmkoal kluən] [[ប័ណ្ណ]] [[សំគាល់]] [[ខ្លួន]] <br>1). identity card "
ការស្ទង់មតិ,"[kaa stɔǝŋ meaʔteʔ] [[ការ]] [[ស្ទង់មតិ]] <br>1). survey "
ឱឡិគល្ល,"[ʔaoleʔkoal] <br>1). n sewer
ក្រាបបង្គំទូល,"[kraap bɑŋkum tuul] [[ក្រាប]] [[បង្គំ]] [[ទូល]] <br>1). to inform the king <br>#..). to respectfully inform / report (to a high-ranking royal person) "
កាយសម្បទា,"[kaay ------] [[កាយ]] [[សម្បទា]] <br>1). physical powers
សណ្ដាប់ស្រុក,"[sɑndap srok] [[សណ្ដាប់]] [[ស្រុក]] <br>1). local tradition / custom "
ស្អិត,"[sʔət] <br>1a). adj to be sticky
និយាយបង្ខុស,"[niʔyiey bɑŋkʰoh] [[និយាយ]] [[បង្ខុស]] <br>1). to slander "
ប្រឹងខ្មឺត,"[prəy kməɨt] [[ប្រឹង]] [[ខ្មឺត]] <br>1). ខ្មឺត "
រក្សាទុក,"[reaksaa ------] [[រក្សា]] [[ទុក]] <br>1). to keep
ភោជនីយសោភ័ណ,"[pʰooceaʔnii saopʰoan] [[ភោជនីយ]] [[សោភ័ណ]] <br>1). See: ព្រះទីន័ងភោជនីយ "
ឧត្តមសន្និបាតរដ្ឋមន្ត្រី,"[ʔutdɑm sɑnniʔbaat roat~roattʰaʔ mʊəntrəy] [[ឧត្តម]] [[សន្និបាត]] [[រដ្ឋមន្ត្រី]] <br>1). council of ministers "
ឧណ្ហីស,"[ʔunheh] <br>1). n crown;<br> turban;<br> mask
ផ្ដៅឈ្វាំង,"[pdav cveaŋ] [[ផ្ដៅ]] [[ឈ្វាំង]] <br>1). kind of rattan used for whipping "
ឡើងយសស័ក្តិ,"[laəŋ yʊəhsak] [[ឡើង]] [[យសស័ក្តិ]] <br>1). to get a promotion / be promoted / advance in rank (esp. of government or military personnel);<br> to become famous "
បញ្ច្រោះ,"[bɑɲcrɑh] <br>1). v to erode
រជក,"[reaʔcʊək
ប្រាប់,"[prap] <br>1). v to tell
រាស់ស្រែ,"[roah srae] [[រាស់]] [[ស្រែ]] <br>1). to rake / harrow a field "
កងកំឡាំងប្រដាប់អាវុធប្រជាជនរំដោះជាតិ​កម្ពុជា,"<br>1). Popular Armed Forces for the Liberation of the Cambodian Nation (title of the KR forces before they were driven out of Phnom Penh by the Vietnamese in 1979) "
បច្ឆិមទិស,"[paccʰəm tɨh] [[បច្ឆិម]] [[ទិស]] <br>1). the west See: ទិសបស្ចិម "
សំណឹកបើ,"[sɑmnǝk baə] [[សំណឹក]] [[បើ]] <br>1). if
សស្ត្រការ,"[sahstraʔ kaa] [[សស្ត្រ]] [[ការ]] <br>1). weapons maker
របបប្រល័យពូជសាសន៍,"[rɔbɑɑp prɑlay puu cɔɔ sah] [[របប]] [[ប្រល័យពូជសាសន៍]] <br>1). genocidal regime "
ជើងគ្រេច,"[cəəŋ krɨc] [[ជើង]] [[គ្រេច]] <br>1). sprained ankle "
រលឹមរោយស្បៃ,"[rɔlɨm rooy sbay] [[រលឹម]] [[រោយស្បៃ]] <br>1). fine drizzle "
ស្រាក់ដៃគ្នា,"[srak day knie] [[ស្រាក់]] [[ដៃ]] [[គ្នា]] <br>1a). to hold hands. <br>1b). to unite / get together to do something "
ភ្ជុំភ្ជរ,"[pcum pcɔɔ] [[ភ្ជុំ]] [[ភ្ជរ]] <br>1). (of monks) to assemble at a temple to celebrate the ភ្ជុំបិណ្ឌ "
អ្នកឧកញ៉ា,"[neak ʔokɲaa] [[អ្នក]] [[ឧកញ៉ា]] <br>1). ancient title for a high civil servant "
អំបេអំបែក,"[ʔɑmbav - ʔɑmbaek] <br>1). n otitis
មួយគោមដៃ,"[muə yɔɔ koom day] [[មួយ]] [[គោមដៃ]] <br>1). one handful "
ភណ្ឌននិកេតន៍,"[pʰoandeaʔneaʔkeet] <br>1). n school exhibit "
ភាពយន្តប្រលោមលោក,"[pʰiepyʊən prɑlaom look] [[ភាពយន្ត]] [[ប្រលោមលោក]] <br>1). romance film "
ចង្អៀតចង្អល់,"[cɑŋʔiət cɑŋʔɑl] [[ចង្អៀត]] [[ចង្អល់]] <br>1a). to be narrow and crowded
ន័យប្រតិបត្តិ,"[ney prɑteʔbat] [[ន័យ]] [[ប្រតិបត្តិ]] <br>1). common sense;<br> wisdom "
សំប៉ាត,"[sɑmpaat] <br>1). adj to be fine
សំបុត្រទាំងទៅទាំងមក,"[sɑmbot teaŋ tɨv~toh teaŋ mɔɔk] [[សំបុត្រ]] [[ទាំង]] [[ទៅ]] [[ទាំង]] [[មក]] <br>1). See: សំបុត្រទៅមក "
អត្តលេខ,"[ʔattaʔ leek] [[អត្ត]] [[លេខ]] <br>1). identification number
សំប៉ាន,"[sɑmpaan] <br>1). n boat
អលង្ការី,"[ʔaʔlaŋkaarəy] <br>1). n decorator "
កូនឈើ,"[koon cʰəə] [[កូន]] [[ឈើ]] <br>1). bush
ពេស្យាចារ,"[peehsyaa caa] [[ពេស្យា]] [[ចារ]] <br>1). prostitution "
ហួសពី,"[huǝh pii] [[ហួស]] [[ពី]] <br>1). beyond
បាញ់ហយ,"[baɲ haa yɔɔ] [[បាញ់]] [[ហ]] [[យ]] <br>1). kind of food consisting of thin noodles
ទេហៈ,"[teihaʔ] <br>1). fp final interrogative marker
សិនិទ្ធភាព,"[seʔnettʰeaʔ~seʔnet pʰiep] [[សិនិទ្ធ]] [[ភាព]] <br>1). cordiality
ចាំជើង,"[cam cəəŋ] [[ចាំ]] [[ជើង]] <br>1). to walk;<br> to gallop
ទ្រើសកំឡាំង,"[trəəh ------] [[ទ្រើស]] [[កំឡាំង]] <br>1). to grow stronger "
អាំងឡូវ,"[ʔaŋ ləv] <br>1). n kind of Chinese stove made of clay
គតិភាតរភាព,"[keaʔteʔ pʰietaʔraʔ pʰiep] [[គតិ]] [[ភាតរភាព]] <br>1). spirit of brotherhood "
ប្រកាសបក្សជាចំហជាផ្លូវការ,"[prɑkaah pak cie cɑmhɑɑ cie pləv kaa] [[ប្រកាស]] [[បក្ស]] [[ជា]] [[ចំហ]] [[ជា]] [[ផ្លូវការ]] <br>1). formal acknowledgment of a (political) party's existence "
ត្រចៀកថ្ករ,"[trɑciək tkɑɑ] [[ត្រចៀក]] [[ថ្ករ]] <br>1). shark's fin (used for making shark's fin soup) "
ញាតិញោម,"[ɲiet ɲoom] [[ញាតិ]] [[ញោម]] <br>1). congregation (of a Buddhist temple) "
ជាប់ជំពាក់(បំណុល)គេ,"<br>1). to be in debt "
ឲ្យអំណាច,"[ʔaoy ʔɑmnaac] [[ឲ្យ]] [[អំណាច]] <br>1). to allow
រជយ,"[rɔcɔɔy] <br>1). adv (to walk) one after another
ញោច,"[ɲouc] <br>1). v to jerk away
វាក់ផ្លូវ,"[veak pləv] [[វាក់]] [[ផ្លូវ]] <br>1). to lose one's way
បំរះរួច,"[------ ruəc] [[បំរះ]] [[រួច]] <br>1). to escape
សិលាសស្ត្រា,"[seʔlaa ------ ] [[សិលា]] [[សស្ត្រា]] <br>1). weapon of stone "
