(Mekong) giant catfish 	 ປາບຶກ
increase	(v) 	 ເພີ່ມຂື້ນ, ຂະຫຍາຍຈໍານວນຂື້ນ
incubate	(v) 	 ອົບ, ບົ່ມ, ໃຫ້ຄວາມຮ້ອນເພື່ອໃຫ້ເກີດເປັນຕົວ
incubate	(v.) 	 ຟັກໄຂ່
incubation	(n) 	 ການຟັກໄຂ່, ໄລຍະຟັກໄຂ່
incubator	(n) 	 ຕູ້ອົບ, ເຄື່ອງຟັກໄຂ່
induced spawning 	 ການປະສົມທຽມປາ
industry	(n) 	 ອຸດສາຫະກໍາ
infections disease(n) 	 ພະຍາດຕິດຕໍ່, ໂລກຕິດຕໍ່
infectious bronchitis 	 ໂລກຫຼອດລົມອັກເສບ
infectious disease 	 ໂລກຕິດຕໍ່
infertile	(adj) 	 ບໍ່ອຸດົມສົມບູນ
infest	(v) 	 ອັ່ງອໍ (ເຕັມສະຖານທີ່)
infestation	(n) 	 ຄວາມອັ່ງອໍ
inflation 	 ພາວະເງີນເຟີ້
inflorescence 	 ຈໍ່ດອກ
inform	(v) 	 ແຈ້ງຂ່າວ, ບອກໃຫ້ຮູ້
information	(n) 	 ຂໍ້ມູນຂ່າວສານ
inhabitant	(n) 	 ຜູ້ອາໄສ
initial investment 	 ເງີນຕົ້ນທຶນ
injection	(n) 	 ການສັກຢາ
injure	(v) 	 ທໍາຮ້າຍ, ບາດເຈັບ
inorganic	(n) 	 ອະນົງຄະທາດ, ອະອິນຊີ
insect 	 ແມງໄມ້ 
insect	(n) 	 ແມງໄມ້
insecticide 	 ຢາຂ້າແມງໄມ້
insecticide	(n) 	 ຢາຂ້າແມງໄມ້
inseminate	(v) 	 ແຜ່ພັນ
install	(v) 	 ຕິດຕັ້ງ
instances	(n) 	 ຕົວຢ່າງ
instead	(adj) 	 ແທນທີ່
insure	(v.), insurance (n) 	 ປະກັນໄພ, ການປະກັນໄພ
intercrop	(n, v) 	 ການປູກພືດປະສົມປະສານ
interest	(n) 	 ດອກເບ້ຍ, ເງີນດອອກເບ້ຍ
interest rate	(n) 	 ອັດຕາດອກເບ້ຍ
interested	(adj) 	 ສົນໃຈ
intermingle	(v) 	 ປະສົມ
intestine	(n) 	 ລໍາໄສ້, ໄສ້
inundation	(n) 	 ອຸທົກກະໄພ, ນໍ້າຖ້ວມ
invertebrates	(n) 	 ສັດບໍ່ມີກະດູກສັນຫຼັງ
invest	(v.) 	 ລົງທຶນ
invest money	(v) 	 ລົງທຶນ
invoice 	 ໃບແຈ້ງລາຄາສີນຄ້າ, ໃບອິນວອຍ
iodine	(n) 	 ທາດໄອໂອດິນ
iodine deficiency disorder	(goiter) 	 ໂລກຂາດທາດໄອໂອດິນ, ໂລກຄໍໜຽງ
iron	(n) 	 ເຫຼັກ
iron toxicity 	 ສານພິດຂອງດິນ
irreplaceable	(adj) 	 ປ່ຽນແທນບໍ່ໄດ້
irrigate	(v) 	 ສ້າງຊົນລະປະທານ
irrigate	(v) 	 ຫົດນໍ້າ, ໃຫ້ນໍ້າ, ເອົານໍ້າເຂົ້າ
irrigation	(n) 	 ການຊົນລະປະທານ
irrigation	(n) 	 ຊົນລະປະທານ
irrigation dam	(n) 	 ເຂື່ອນກັນນໍ້າ
irrigation ditch	(n) 	 ຕະຄອງສົ່ງນໍ້າ, ຄອງສົ່ງນໍ້າ
island 	 ດອນ, ເກາະ
itch	(v, n) 	 ຄັນ, ຂີ້ຫິດ
ivy gourd 	 ຜັກຕໍານິນ
jack fruit 	 ໝາກມີ້
jam	(n) 	 ແຍມ, ໝາກໄມ້ກວນ
jaw 	 ຄາງ
jaw	(n) 	 ດູກຄາງກະໄຕ
jetting gun	(n) 	 ປືນສີດນໍ້າ
jug	(n) 	 ເຫຍືອກ, ໂຖນໍ້າ, ກະຕຸກນໍ້າ
juggle	(v) 	 ຫຼີ້ນກົນ, ລວງຕາ
juice	(n) 	 ນໍ້າໝາກໄມ້
jujube 	 ໝາກກະທັນ, ໝາກທັນ
jungle	(n) 	 ປ່າດົງດິບ
justifiable	(adj) 	 ແກ້ຕົວໄດ້
justify	(v) 	 ສະແດງຫຼັກຖານ, ແກ້ຕົວ
justness	(n) 	 ຍຸດຕິທໍາ
jut	(n) 	 ຍືນອອກມາ, ຍື່ນຂາອອກ
jute 	 ປໍກະເຈົາ
jute 	 ປໍກະເຈົາ
jute	(n) 	 ປໍ, ປໍກະເຈົາ
juvenile	(n, adj) 	 ເຍົາວະຊົນ, ເດັກນ້ອຍ, ລຸ້ນເດັກນ້ອຍ
juvenile court	(n) 	 ສານຄະດີເດັກນ້ອຍ
juvenile delinquent	(n) 	 ເດັກນ້ອຍເກເລ
kaempfer	(kind of galingale) 	 ກະຊາຍ
kaffir lime 	 ໝາກຂີ້ຫູດ
kapok 	 ຕົ້ນງິ້ວ	(ງິ້ວ)
keen	(adj) 	 ຄົມ, ຫຼັກແຫຼມ, ໃຈຈົດໃຈຈໍ່
keep	(v) 	 ເກັບຮັກສາ, ປົກປິດ, ປິດບັງ
kenaf 	 ປໍສະວາ
kenaf 	 ປໍແກ້ວ
kernel	(n) 	 ພາກສ່ວນໃນຂອງຖົ່ວຕ່າງໆ
kerosene	(paraffin) 	 ນໍ້າມັນກາດ
kettle	(n) 	 ກາຕົ້ນນໍ້າ, ໝໍ້
kibble	(v) 	 ບົດ, ປົ່ນ
kidney	(n) 	 ໃຕ, ໃຕສັດ
kill	(v) 	 ຂ້າ
kilogram, kilo	(n) 	 ກິໂລກຼາມ
kind	(adj), sort (n) 	 ຊະນິດ
king	(n) 	 ເຈົ້າຊີວິດ
kitchen garden	(n) 	 ສວນຄົວ, ສວນຜັກ
kitten	(n) 	 ລູກແມວ
knee	(n) 	 ເຂົ່າ, ຫົວເຂົ່າ
knife 	 ມີດ
knife	(n) 	 ມີດ
knit	(v) 	 ຖັກ
knoll	(n) 	 ເນີນ, ໂຄກ
lab our	(n) 	 ແຮງງານ
laborers	(n) 	 ກໍາມະກອນ
lactation	(period) 	 (ໄລຍະ) ໃຫ້ນົມ
lactation period	(n) 	 ໄລຍະໃຫ້ນົມ
ladder	(n) 	 ຂັ້ນໄດ
ladybird beetle 	 ແມງເຕົ່າທອງ
lake	(n) 	 ທະເລສາບ
lamp	(n) 	 ຕະກຽງ, ໂຄມໄຟ, ດອກໄຟ
land	(n) 	 ດິນ
land and tree tenure	(n) 	 ກໍາມະສິດໃນການນໍາໃຊ້ທີ່ດິນ ແລະ ຕົ້ນໄມ້
land classification	(n) 	 ການຈັດສັນແບ່ງດິນ
land classification	(n) 	 ການຈໍາແນກທີ່ດິນ
land distribution / allocation	(n) 	 ການແບ່ງປັນທີ່ດິນ
land feasibility	(n) 	 ຄວາມເປັນໄປໄດ້ໃນການນໍາໃຊ້ດິນໃຫ້
land fragmentation	(n) 	 ການແບ່ງທີ່ດິນອອກເປັນພື້ນທີ່ຍ່ອຍໆ
land lease	(n) 	 ການເຊົ່າທີ່ດິນ
land occupation	(n) 	 ການຢຶດຄອງທີ່ດິນ
land race	(n) 	 ພັນພື້ນເມືອງ
land reform	(n) 	 ປະຕິຮູບທີ່ດິນ
land registry	(cadaster ) 	 ການຈົດທະບຽບທີ່ດິນ, ການລົງທະບຽບທີ່ດິນ
land speculation	(n) 	 ການຊື້ຂາຍດິນເພື່ອຜົນກໍາໄລ
land tenure systems	(n) 	 ລະບົບກໍາມະສິດນໍາໃຊ້ທີ່ດິນ 
land use right	(n) 	 ສິດນໍາໃຊ້ທີ່ດິນ
land-mine	(n) 	 ລະເບີດຝັງດິນ
land-use system	(n) 	 ລະບົບການນໍາໃຊ້ທີ່ດິນ
land-use-map sketching	(n) 	 ການວາດແຜນທີ່ການນໍາໃຊ້ທີ່ດິນດ້ວຍມື
landholding	(n) 	 ການຄອບຄອງທີ່ດິນ
landless	(n) 	 ບໍ່ມີທີ່ດິນ
landlord	(landowner) 	 ເຈົ້າຂອງເຮືອນ (ເຈົ້າຂອງທີ່ດິນ)
landmark	(n) 	 ຫຼັກປັກປັນເຂດແດນ, ທີ່ໝາຍ, ຂີດໝາຍ
landslide	(n) 	 ດິນເຈື່ອນ, ດິນພັງທະລາຍ
langsat 	 ໝາກລັງສາດ
large-scale	(adj) 	 ຂະໜາດໃຫຍ່
larva	(grub) 	 ເຜີ້ງຕົວອ່ອນ
larva of dipteral and some lepidoptera 	 ໜອນ, ໂຕໜອນ
lasso	(n) 	 ບ້ວງຄ້ອງສັດ
laterite 	 ດິນແຮ່, ດິນລຸກລັງ
laterite	(n) 	 ດິນຫີນແຮ່
laugh	(v) 	 ຫົວ, ຫົວຂວັນ
law	(n) 	 ກົດໝາຍ
law of succession	(n) 	 ກົດໝາຍການສືບທອດມໍລະດົກ
lay	(v) 	 ວາງ, ພາດ, ປູ
lay egg	(v) 	 ອອກໄຂ່, ວາງໄຂ່
lay eggs	(v) 	 ວາງໄຂ່
layer 	 ໄກ່ໄຂ່
layer	(n) 	 ແມ່ໄກ່ໄຂ່, ຊັ້ນຂອງດິນ ຫຼື ບັນຍາກາດ
leaching	(n) 	 ການຊະລ້າງ (ດິນ)
lead	(mineral) 	 ກົ່ວ, ສານກົ່ວ
lead	(v) 	 ຈູງ, ຊັກຈູງ, ນໍາພາ
leader	(n) 	 ຜູ້ນໍາ
leaf 	 ໃບໄມ້
leaf burn 	 ໃບແຫ້ງ
leaf curing 	 ໃບງໍ
leaf scald 	 ພະຍາດໃບວົງສີນໍ້າຕານ
leaf spot 	 ໃບຈຸດ
leaf streak 	 ພະຍາດໃບຂີດສ່ອງແສງ
leaf, leaves	(n) 	 ໃບໄມ້
leaffolder 	 ບົ້ງຮໍາໃບ
leafhopper 	 ເພ້ຍຈັກຈັ່ນ
leafy vegetable 	 ຜັກກີນໃບ
leafy vegetables	(n) 	 ຜັກກີນໃບ
leak	(n) 	 ຮົ່ວ
leave	(v) 	 ຖີ້ມ, ຈາກໄປ, ອອກເດິນທາງ
leech	(n) 	 ປີງ, ທາກ
legal frame work	(n) 	 ຂອບເຂດກົດໝາຍ
legume	(n) 	 ພືດຕະກຸນຖົ່ວ
lemon grass 	 ຫົວສີໄຄ
lend	(v) 	 ໃຫ້ຢຶມ
lend	(v) 	 ໃຫ້ຢືມ, ໃຫ້ກູ້
lentil 	 ໝາກຖົ່ວຊະນິດໜື່ງ
leptispa 	 ດ້ວງປີກແຂງ
lettuce 	 ຜັກສະຫຼັດ
leucaena leucocephala 	 ກະຖິນບ້ານ
leucaena leucocephala 	 ກະຖິນໃຫຍ່
leusine indica 	 ຫຍ້າຕີນກາ ຫຼື ຫຍ້າຜັກຄວາຍ
level	(flat) (adj) 	 ພຽງ
level	(n) 	 ລະດັບ
level	(v) 	 ປັບໜ້າດິນ
license	(n) 	 ໃບທະບຽນ, ໃນອະນຸມັດ
lichee	(lychee) 	 ໝາກລີ້ນຈີ່
life	(n) 	 ຊີວິດ
lift net 	 ກະດຸ້ງ
light	(v, n, adj) 	 ໄຕ້ໄຟ, ແສງສະຫວ່າງ, ເບົາ
limb	(n) 	 ແຂນຂາ ຫຼື ປີກ
lime 	 ປູນຂາວ
lime	(lemon) 	 ໝາກນາວ
lime	(n) 	 ໝາກຂີ້ຫູດ
lime	(rough lemon), kaffir lime 	 ໝາກຂີ້ຫູດ
limestone	(n) 	 ຫີນປູນ
limit	(v, n) 	 ຈໍາກັດ, ເຂດຈໍາກັດ
lip	(n) 	 ຮີມປາກ
liquid	(n, adj) 	 ແຫຼວ, ທາດແຫຼວເປັນນໍ້າ
liver	(n) 	 ຕັບ
livestock 	 ສັດລ້ຽງ 
livestock	(n) 	 ສັດລ້ຽງ
livestock raising	(n) 	 ການລ້ຽງສັດ
livestock specialist	(n) 	 ສັດຕະວະແພດ
living fence	(n) 	 ຮົ້ວຊີວະພາບ (ທີ່ປູກຕົ້ນໄມ້ເປັນຮົ້ວ)
lizard	(n) 	 ກະປອມ, ຈິໂກະ
load	(v, n) 	 ບັນທຸກ, ເຄື່ອງບັນທຸກ, ເຄື່ອງຕ່າງໃສ່
loam 	 ດິນອ່ອນ, ດິນປະສົມ, ດິນດີ
loan	(n. v.) 	 ໃຫ້ກູ້ຢືມ, ເງີນກູ້ 
local	(adj) 	 ທ້ອງຖີ່ນ, ພື້ນເມືອງ
local breed	(n) 	 ພັນພື້ນເມືອງ
located	(adj) 	 ຕໍາແໜ່ງ, ບໍລິເວນ
lock	(n) 	 ກະແຈ, ປິດກະແຈ, ອັດ
locust	(n) 	 ຕັກແຕນ (ຊະນິດທໍາລາຍພືດ)
log	(n) 	 ໄມ້ທ່ອນ
log hive 	 ເຜີ້ງໂກນ
logging	(n) 	 ການຕັດໄມ້ທ່ອນ
loin 	 ບັ້ນແອວ 
lonely	(adj) 	 ເຫງົາ
long	(adj) 	 ຍາວ
long banana 	 ກ້ວຍງ້າວ
long handle fish net 	 ສະຫວິງປາກໃຫຍ່
longan 	 ໝາກລໍາໄຍ
loom	(n) 	 ຫູກ
loose	(adj, loosen (v) 	 ຫຼົມ, ບໍ່ແໜ້ນ, ເຮັດໃຫ້ຫຼົມ
lorry	(n) 	 ລົດບັນທຸກ
lose	(money) (v.) loss (n.) 	 ຂາດທຶນ
lost	(adj) 	 ເສຍ
lotus 	 ດອກບົວ
louse	(lice-pl.) 	 ເຫົາ
low	(adj) 	 ຕໍ່າ
lower soil horizon 	 ດິນຊັ້ນລຸ່ມ
lowland	(n) 	 ທົ່ງພຽງ, ພື້ນທີ່ຕໍ່າ
lowland rice farmer 	 ຊາວນາ
lpomoea aquatic 	 ຜັກບົ້ງ
lschaemum rugosum 	 ຫຍ້າກ້ານທູບ
lumber 	 ໄມ້ແປຮູບ, ໄມ້ແປຮູບ
lumberjack 	 ຊ່າງຕັດຕົ້ນໄມ້
lungs	(n) 	 ປອດ
machete 	 ມີດທີ່ມີໃບມີດໃຫຍ່ກວ້າງ
mad cow disease	(BSE) 	 ໂລກງົວບ້າ
main	(adj) 	 ຫຼັກ, ສໍາຄັນ
main crop	(n) 	 ພືດຫຼັກ
mainstay	(n) 	 ຫຼັກສໍາຄັນ
maintenance	(n) 	 ການຮັກສາ, ການບໍາລຸງ, ການລ້ຽງດູເບີ່ງແຍງ
major	(adj) 	 ໃຫຍ່, ສ່ວນໃຫຍ່
malaria	(n) 	 ໄຂ້ມາລາເລຍ, ໄຂ້ປ່າ
male 	 ໂຕຜູ້
male animal	(n) 	 ສັດໂຕຜູ້
male breeding stock 	 ພໍ່ພັນ
malia azedarach	(chinaberry) 	 ຕົ້ນລ່ຽມ
mammal	(n) 	 ສັດລ້ຽງລູກດ້ວຍນໍ້ານົມ
mammary	(adj) 	 ກ່ຽວກັບນົມ
management	(n) 	 ບໍລິຫານ
manager	(n) 	 ຜູ້ບໍລິຫານ
mandate	(v) 	 ມີອໍານາດ
manganese toxicity 	 ສານພິດຂອງທາດມັງການິສ
mango 	 ໝາກມ່ວງ
mangosteen 	 ໝາກມັງຄຸດ
manila tamarind 	 ໝາກຂາມເທດ
manure 	 ຝຸ່ນສັດ, ຂີ້ສັດ	(ຝຸ່ນຄອກ)
manure	(n) 	 ປຸ໋ຍທໍາມະຊາດ, ປຸ໋ຍຄອກ, ຝຸ່ນຄອກ
manure spreader	(n) 	 ເຄື່ອງໃສ່ປຸ໋ຍ
map	(n) 	 ແຜນທີ່
mare	(n) 	 ມ້າແມ່
marian plum 	 ໝາກຜາງ
market	(n) 	 ຕະຫຼາດ
market force	(n) 	 ຕົວກໍານົດຂອງຕະຫຼາດ
market garden	(n) 	 ສວນຜັກ
mask	(protective wear for face) 	 ໜ້າກາກ
mastitis 	 ໂລກເຕົ້ານົມອັກເສບ
mattock, pickaxe 	 ເຄື່ອງມືຂຸດດິນ, ເຫຼັກເຂົາຄວາຍ
mature	(v, adj) 	 ແກ່, ສຸກ, ຈະເລີນເຕັມສ່ວນ, ເປັນຜູ້ໃຫຍ່
maturity	(n) 	 ອາຍຸ
maximum	(n, adj) 	 ສູງສຸດ
mealybugs 	 ເພ້ຍແປ້ງ
measure	(v) 	 ວັດແທກ, ແທກ
meat	(n) 	 ຊີ້ນ, ເນື້ອ
meat chicken 	 ໄກ່ພັນຊີ້ນ
mechanic	(n) 	 ຊ່າງຈັກ, ຊ່າງເຄື່ອງຈັກ
mechanical equipment 	 ເຄື່ອງກົນຈັກ
mechanization	(n) 	 ການນໍາໃຊ້ກົນຈັກ
mechanize	(v) 	 ນໍາໃຊ້ກົນຈັກ
medicinal plant	(n) 	 ພືດສະໝຸນໄພ, ພືດເປັນຢາ
medicinal plant	(n) 	 ພືດສະໝຸນໄພ, ພືດເປັນຢາ
medicine	(n) 	 ຢາ, ຢາປີ່ນປົວ
meeting 	 ການປະຊຸມ, ລວມ
meeting	(n) 	 ການປະຊຸມ
member 	 ສະມາຊິກ
member	(n) 	 ສະມາຊິກ
merchant, money lender 	 ພໍ່ຄ້າ, ຜູ້ອອກເງີນກູ້
mesh	(n) 	 ຕາຄ່າຍ, ຕາໜ່າງ, ຕາແຫ
metal	(n, adj) 	 ໂລຫະ
meter / meter	(n) 	 ໄມ້ແມັດ (ສໍາລັບວັດແທກ)
methane gas	(CH	 ກາສທໍາມະຊາດທີ່ໄດ້ຈາກຂີ້ສັດ
method	(n) 	 ວິທີການ
microbe	(n) 	 ຈຸລະຊີບ
microcatchment	(n) 	 ອ່າງໂຕ່ງຂະໜາດນ້ອຍ
microclimate	(n) 	 ສະພາບອາກາດໃນລະດັບຈຸນລະພາກ
micronutrients	(n) 	 ອາຫານສໍາຮອງ
midwife	(n) 	 ນາງຜະດຸງຄັນ
migrate	(v.) 	 ຍ້າຍຮັງ (ຂອງເຜີ້ງ)
migro-organism 	 ຈຸລິນຊີ
milk	(n) 	 ນໍ້ານົມ
milk veins 	 ເສັ້ນນົມ
millipede 	 ບົ້ງກື
millipede	(n) 	 ບົ້ງກື
mineral	(n, adj) 	 ແຮ່ທາດ
minimum	(n, adj) 	 ຕໍ່າສຸດ
ministry	(n) 	 ກະຊວງ
minster	(n) 	 ລັດຖະມົນຕີ
mint 	 ໃບສະລາແນ່, ຜັກຫອມລາບ	(ຫອມຈີນ)
mire	(n) 	 ຕົມ, ໂຄນ
mist	(n) 	 ນໍ້າໝອກ
mist irrigation bed	(bench) 	 ໜານພົ່ນໝອກ
mite 	 ໄຮ, ໂຕໄຮ
mite	(n) 	 ໄຮ, ເລັນ
mix 	 ສ່ວນປະສົມ
mix	(v) 	 ປະສົມ
mix feed	(n) 	 ອາຫານປະສົມ
mixed feed 	 ອາຫານປະສົມ
mixed pasture 	 ທົ່ງຫຍ້າປະສົມ
mixing machine	(n) 	 ເຄື່ອງປະສົມ
mixing ratio 	 ສ່ວນປະສົມ
mixture	(n) 	 ສ່ວນປະສົມ
mobilize	(v) 	 ລະດົມ
modify	(v) 	 ດັດແປງ
moist	(v) 	 ຊຸ່ມ
moisture	(n) 	 ຄວາມຊຸ່ມ
mole cricket 	 ແມງຊອນ
monitor	(v) 	 ຕິດຕາມ
monk	(n) 	 ຄູບາ
monkey	(n) 	 ລີງ
monky wrench 	 ກະແຈເລື່ອນ
monocot	(monocotyledon) (n) 	 ພືດໃບລ້ຽງດ່ຽວ
monoculture	(n) 	 ປູກພືດຊະນິດດຽວກັນໃນພື້ນທີ່ເດີມ
monsoon forest	(n) 	 ປ່າປຽກຊຸ່ມ
month	(n) 	 ເດືອນ
moon	(n) 	 ເດືອນ, ພະຈັນ
morbidity	(n) 	 ເນື້ອງອກ
mortality	(n) 	 ອັດຕາການຕາຍ
mortgage 	 ກໍາໄລສຸດທິ
mosquito 	 ຍຸງ
moss	(n) 	 ໄຄຫີນ ຫຼື ໄຄຕົ້ນໄມ້
moth 	 ແມງກະເບື້ອກາງຄືນ
moth	(n) 	 ແມງກະເບື້ອກາງຄືນ
motivate	(v) 	 ຈຸງໃຈ, ຊຸກຍູ້
motivation	(n) 	 ການຈຸງໃຈ, ການກະຕຸ້ນ
mould	(n,v) 	 ເຊື້ອລາ, ດິນຫຼົມ, ແມ່ພັນ, ແບບຢ່າງ
moulting	(n) 	 ການຖ່າຍຂົນ (ປ່ຽນຂົນໃໝ່)
mountain	(n) 	 ພູເຂົາ
mouse, rat 	 ໜູ, ໂຕໜູ
move	(v) 	 ເຄື່ອນທີ່, ຍ້າຍ
mow	(v) 	 ຕັດຫຍ້າ
mucus	(n) 	 ນໍ້າເມືອກ (ຂອງສັດ ຫຼື ຄົນທີ່ມີພູມແພ້)
mud, muddy	(n, adj) 	 ຕົມ
mulberry 	 ຕົ້ນມອນ
mulberry	(n) 	 ຕົ້ນມອນ
mulberry leaf	(n) 	 ໃບມອນ
mulberry tree	(n) 	 ຕົ້ນມອນ
mulch	(v) 	 ຄູນດິນ, ປົກໜ້າດິນ (ດ້ວຍຫຍ້າ, ເຟືອງ ແລະ ອືນ
multi-cropping	(n) 	 ການປູກພືດຫຼາຍຊະນິດ
multiply	(v) 	 ຂະຫຍາຍ, ຄູນ
multipurpose forest	(n) 	 ປ່າອະເນກປະສົງ
mung bean 	 ຖົ່ວຂຽວ
mung bean 	 ຖົ່ວຂຽວ
muscle	(n) 	 ກ້າມຊີ້ນ
mushroom	(n) 	 ເຫັດ
mussel	(n) 	 ຫ້ອຍແມງຜູ້
mustard 	 ຜັກກາດຂຽວ, ຜັກກາດຊອນ
muzzle 	 ດັງ
nail 	 ຕະປູ
narrow	(adj) 	 ແຄບ
narrow brown leaf spot 	 ພະຍາດໃບຂີດສີນໍ້າຕານ
national	(adj) 	 ແຫ່ງຊາດ
native	(adj) 	 ພື້ນເມືອງ
native breed 	 ພັນພື້ນເມືອງ
natural	(adj) 	 ຕາມທຳມະຊາດ
natural regeneration	(n) 	 ການສືບພັນໂດຍທໍາມະຊາດ
naturalist	(person) 	 ນັກຄົ້ນຄວ້າທຳມະຊາດ
nature	(n) 	 ທຳມະຊາດ
navel	(n) 	 ສາຍບື
near	(adj) 	 ໃກ້
necessary	(adj) 	 ຈຳເປັນ
nectar 	 ນໍ້າຫວານໃນເກສອນດອອກໄມ້
need	(n, v) 	 ຕ້ອງການ, ຄວາມຕ້ອງການ
needle 	 ໃບເຂັມຕົ້ນແປກ
needs assessment 	 ການປະເມີນຄວາມຕ້ອງການ
neglect	(v) 	 ປະປ່ອຍ
nematode 	 ຂີ້ກະເດືອນຝອຍ
nematode	(n) 	 ຂີ້ກະເດືອນຝອຍ, ຂີ້ກະຕືກ, ແມ່ທ້ອງກົມ
nerve	(n) 	 ປະສາດ
net	(n) 	 ສະຫວິງ, ກະດຸ້ງ
net profit 	 ກໍາໄລສຸດທິ
nipa palm nut 	 ໝາກຈາກ
nipple	(n) 	 ຫົວນົມ
nitrate	(n) 	 ເກືອຂອງກົດໄນທຣິດ
nitrogen 	 ທາດໄນໂຕຣເຈນ
nitrogen	(n) 	 ທາດໄນໂຕຣເຈນ
nitrogen deficiency 	 ການຂາດທາດໄນໂຕຣເຈນ
nitrogen fixation	(n) 	 ການປ່ຽນທາດໄນໂຕຼເຈນມາເປັນອາ
nomadic	(adj) 	 ພະເນຈອນ
non-farm activity	(n) 	 ກິດຈະກໍາທີ່ບໍ່ກ່ຽວຂ້ອງກັບພື້ນທີ່ກະສິກໍາ
non-glutinous rice 	 ເຂົ້າຈ້າວ
non-market value	(n) 	 ບໍ່ມີມູນຄ່າທາງດ້ານການຕະຫຼາດ
non-renewable resource	(n) 	 ຊັບພະຍາກອນທີ່ບໍ່ສາມາດເສີມສ້າງຂື້ນ
north	(n) 	 (ທິດ) ເໜືອ
northeast 		(ທິດ) ຕາເວັນອອກສຽງເໜືອ
nose	(n) 	 ດັງ
novice monk	(n) 	 ເນນ, ຈົວ
number	(n) 	 ເລກທີ, ນໍ້າເບີ
nurse	(n) 	 ນາງພະນາບານ
nursery 	 ກິ່ງທາບ
nursery	(n) 	 ເຮືອນເພາະປູກ
nurture	(n) 	 ລ້ຽງ, ຖະນຸຖະໜອມ
nut 	 ນັອດ
nut	(n) 	 ແກ່ນ, ໝາກ
nutmeg 	 ຈັນເທດ
nutrient	(n) 	 ທາດອາຫານ
nutrient deficiency 	 ການຂາດທາດອາຫານ
nutrition 	 ໂພຊະນາການ
nutrition	(n) 	 ໂພຊະນາການ
oats 	 ເຂົ້າໂອດ
ocean	(n) 	 ມະຫາສະໝຸດ
octopus	(n) 	 ປາໝຶກໃຫຍ່
off feed 	 ໂລກເບື່ອອາຫານ
off-farm employment	(n) 	 ວຽກງານນອກພື້ນທີ່ກະສິກໍາ
officer	(n) 	 ເຈົ້າໜ້າທີ່, ພະນັກງານ
official	(n) 	 ຂ້າລັດຖະການ
offspring	(n) 	 ລູກຫຼານ (ຄົນ, ສັດ)
oil	(n) 	 ນໍ້າມັນ
ointment	(n) 	 ຢາທາຊະນິດນໍ້າມັນ
okra, lady’s finger 	 ກະຈ໋ຽວ, ສົ້ມພໍດີ
old-growth forest	(n) 	 ປ່າແກ່
olive 	 ໝາກໂອລິບ
on-farm trials	(n) 	 ການທົດລອງຮ່ວມກັບຊາວກະສິກອນ
one way street	(n) 	 ຖະໜົນທິດດຽວ
onion 	 ຜັກບົ່ວຫົວໃຫຍ່, ຫົວຫອມ
opium	(n) 	 ຢາຝິ່ນ
opportunity cost	(n) 	 ມູນຄ່າຂອງໂອກາດດ້ານເສດຖະກິດ
orange 	 ໝາກກ້ຽງ
orange leaf 	 ພະຍາດໃບສີນໍ້າໝາກກ້ຽງ
orchard	(n) 	 ສວນໝາກໄມ້
orchard farmer 	 ຊາວສວນ
orchid	(n) 	 ກ້ວຍໄມ້, ດອກເອື້ອງ, ດອກກຽງລົມ, ດອກເຜີ້ງ
order	(n, v) 	 ສັ່ງ, ຊັ້ນ (ໃນການຈໍາແນກສັດ ແລະ ພືດ)
ordnance	(n) 	 ອາວຸດ, ສາງອາວຸດ
ore	(n) 	 ແຮ່, ສິນແຮ່
organic	(adj) 	 ອົງຄະທາດ, ອິນຊີ
organic fertilizer	(n) 	 ປຸ໋ຍອິນຊີວັດຖຸ, ປຸ໋ຍທີ່ໄດ້ຈາກທໍາມະຊາດ
organic matter	(n) 	 ອິນຊີວັດຖຸ, ວັດຖຸໄດ້ຈາກທໍາມະຊາດ (ໃບໄມ້)
organism	(n) 	 ອິນຊີວັດຖຸ, ສັດ ຫຼື ຕົ້ນໄມ້
organization	(n) 	 ການຈັດຕັ້ງ, ອົງການຈັດຕັ້ງ
organize	(v) 	 ຈັດຕັ້ງ
origin	(n) 	 ດັ້ງເດີມ
ostrich	(n) 	 ນົກກະຈອກເທບ
out flowing	(adj) 	 ໄຫຼອອກ
oven	(n) 	 ເຕົາອົບ
overflow	(v) 	 ລົ້ນ, ຖ້ວມ, ໄຫຼລົ້ມ
owner	(n) 	 ເຈົ້າຂອງ
oxygen 	 ທາດອົກຊີ
oyster mushroom	(n) 	 ເຫັດນາງລົມ
pH	(value) 	 ຄວາມເປັນກົດເປັນດ່າງ
paddy field	(n) 	 ທົ່ງນາ
paddy rice	(n) 	 ເຂົ້ານາ
pain	(n) 	 ຄວາມເຈັບປວດ, ບາດແຜ
palate	(n) 	 ເພດານປາກ
pandanus 	 ໃບເຕີຍ
papaya 	 ໝາກຫຸ່ງ
paper	(n) 	 ເຈ້ຍ, ບົດລາຍງານ
paprika 	 ໝາກເຜັດໃຫຍ່
paraffin	(kerosene) (n) 	 ນໍ້າມັນກາດ
parameter	(n) 	 ຕົວວັດແທກ, ຕົວປ່ຽນ
parasite 	 ເຊື້ອກາຝາກ
park	(n) 	 ສວນ, ສວນສາທາລະນະ
parsley 	 ຜັກຊີຝຣັ່ງ
parsley	(n) 	 ຜັກຊີ
part of it	(n) 	 ສ່ວນໜື່ງ
participatory approach	(n) 	 ຮູບແບບຂອງການມີສ່ວນຮ່ວມ
