0,9 liter	@quart
penunjang modal	@trading on equity
penunjang-sengkang	@bow support
penunjuk akromatik	@achromatic indicator
penunjukan	@refemnce	<br>@denotion
penunjukan perkembangan-perkembangan masa depan	@straw in the wind
penunjukan yang berhak atas warisan	@testamentary disposition
penunjuk arah	@signpost	<br>@winker
penunjuk arah angin	@weathercock
penunjuk aras-log	@log-level indicator
penunjuk bahanbakar	@fuel gauge
penunjuk frekwensi	@frequency-indicator
penunjuk prestasi	@performance indicator
penunjuk sudut	@angle indicator
penunjuk ukuran lebar	@width check
penunjuk warna	@colour indicator
penuntun anak menyeberang	@lolipop woman	<br>@lolipop man
penuntun pancaran	@jet guiding
penuntun sabuk	@belt guide
penuntun sorong uap	@sliding guide
penuntut	@litigant	<br>@claimant
penuntutan	@prosecution	<br>@pretention
penuntutan perkara	@lawsuit
penuntutan perkara berlatar belakang politic atau	@accusation referring to the politic or religion affair
penuntut umum	@publik prosecutor
pen up	@mengurung
penurapan terowong	@tunnel-lining
penurious	@pelit
penuriusly	@dengan pelit
penurunan	@decrease in
penurunan biaya	@decreasing cost
penurunan dari tahta	@dethronement
penurunan derajad	@bastardization
penurunan formal alihragam Lorentz	@Lorentz transformation formal derivation
penurunan harga diri	@debasement
penurunan indeks	@lowering of indices
penurunan kapiler	@capillary depression
penurunan moril	@demoralisation
penurunan muatan	@charge lowering
penurunan pangkat	@demotion	<br>@down grading
penurunan(pangkat,derajad)	@degradation
penurunan secara bertahap	@inherent regulation
penurunan secara manual	@manual lowering
penurunan suhu	@decrease of temperature
penurunan tegangan	@volt-drop
penurunan tekanan	@decrease of pressure	<br>@reduction of pressure
penurunan titik beku	@depression of freezing point
penurunan-voltase	@voltage drop
penurun arus	@reducing-transformer
penurun tegangan	@voltage reducer
penurut	@pushover	<br>@tractable
penury	@kemiskinan/kekurangan
penusuk	@pricker
penusukan	@impalement
penusuk terak	@slag-bar
penutup	@coverer	<br>@closure	<br>@lid	<br>@finale	<br>@masking
penutup alas	@bottom closure
penutupan	@shutting	<br>@foreclosure	<br>@covery
penutupan debat badan u.u.	@cloture
penutupan katup	@closing of the valve
penutupan lorong	@shaft barrier
penutupan perusahaan	@shut-down
penutupan sebelah luar	@outward closing
penutup automatik	@automatic shutter
penutup geretan	@match cover
penutup kaki	@gaiter
penutup kanta	@lens shutter
penutup mata kuda	@blinkers
penutup sprei	@bed spread
penutup tanah	@ground cover
penutup telinga	@earmuff
penutup terdinginkan	@cooled cover
penutur asli	@informant	<br>@native speaker
penyabot	@saboteur
penyabungan ayam	@cock fighting
[penyadap/ungkit katup]	@tapper
penyadaran	@resuscitation
penyair	@poet	<br>@bard	<br>@laureate
penyair wanita	@poetess
penyajian	@representation
penyajian keliru	@misrepresentation
penyajian resmi	@formal presentation
penyakit	@ailment	<br>@illness	<br>@sickness	<br>@malady	<br>@disease
penyakit akibat radang	@mononucleosis
penyakit anjing gila	@hydrophobia	<br>@canine madness	<br>@rabies
penyakit berbahaya	@malignancy
penyakit binatang	@distemper
penyakit bintik-bintik merah	@German measles
penyakit buang air	@dropsy
penyakit cacar	@cow pox
penyakit cacing pita	@trichinosis
penyakit gatal bintik merah dan bengkak	@hives
penyakit gila	@insanity
penyakit ginjalrend	@renal disease
penyakit gondok	@mumps
penyakit gula	@diabetic
penyakit gusi	@pyorrhea
penyakit infeksi bintik merah	@scarlet fever
penyakit jantung	@heart disease
penyakit jiwa	@schizophrenia
penyakit kaison	@air embolism
penyakit kaki gajah	@elephantiasis
penyakit kaki kambing	@footrot
penyakit kanker	@cancercous
penyakit kejiwaan	@psychosis
penyakit kelamin	@venereal disease
penyakit kelamin/ kotor	@vd
penyakit kelenjar	@scrofula
penyakit kronis pada hati	@cirhosis
penyakit kuku dan mulut	@foot-and-mouth disease
penyakit kulit	@skin disease
penyakit kurang gizi	@pellagra
penyakit lumpuh	@poliomyelitis	<br>@polio
penyakit malas	@spring fever
penyakit mata menular	@pinkeye
penyakit menular	@contagion
penyakit menular dari beo	@parrot fever
penyakit menular pada burung	@psytacosis
penyakit mongol	@mongolism
penyakit otak	@encephalitis
penyakit parkinson	@parkinson's disease	<br>@parkinson's
penyakit paru	@passiola hepatica
penyakit paru-paru	@emphysema
penyakit paru paru	@phthisis
penyakit paru-paru	@tuberculose
penyakit pegal pada pinggang	@sciatica
penyakit pes	@bubonic plague
penyakit rakitis	@rickets
penyakit ruam saraf	@shingles
penyakit sedih tanpa sebab	@hypochondria
penyakit suka mencuri	@kleptomania
penyakit tenggorokan parah	@quinsy
penyakit tipus	@typhus	<br>@typhoid
penyakit tropis	@tropical ailment
penyakit yang mengerikan	@debilitating disease
penyalaan baterai	@battery ignition
penyalaan baterei	@battery ignitation
penyalaan busi	@spark-plug ignition
penyalaan elektrik	@electric ignition
penyalaan katalistis	@catalytic ignition
penyalaan kompresi	@compression-ignition
penyalaan maknit	@magneto-ignition
penyalaan pendahuluan	@advance ignation
penyalaan pijar	@ignition by low tension fuses
penyalaan susulan	@fire larded ignition
penyalaan tak tepat	@premature ignition
penyalaan tak teratur	@irregular firing
penyalaan tegangan rendah	@low tension ignition
penyalaan tegangan tinggi	@high tension ignition
penyalaan terlabat	@late ignition
penyala geranat	@hand grenade fuse
penyalahgunaan	@misapplication
penyalahgunaan hak	@abuse of right	<br>@abuse of justice
penyalahgunaan kekuasaan	@abuse of power
penyalahgunaan kekuasaan sebagai orang tua	@abuse of parental power
penyalak	@barker
penyaliban	@crucifixion
penyalin	@duplicator
penyalinan	@transcription of	<br>@duplicity
penyalinan huruf	@trasliteration
penyalur	@dealer	<br>@go-betweens	<br>@supplier
penyaluran	@channelization
penyaluran kotoran	@sewerage
penyalur barang-barang industri	@industrial distributor
penyalur tekstil	@mercer
penyalut	@upholstry
penyalutan celup	@dip coating
penyalut silinder	@cylinder-lagging
penyalut vakum tinggi	@highs vacuum coater
penyamaan	@equaliser	<br>@similarization	<br>@equation
penyamaan pita basis	@baseband equalization
penyamak	@tanner
penyamakan kulit	@leather tanning
penyamarataan	@generalization
penyambat berarah	@directional coupler
penyambat terubahkan	@variocoupler
penyambungan sirkit	@circuit closer
penyambung sel-baterai	@battery connector strap
penyampai	@conveyor
penyampaian pidato	@delivery of speech
penyamun	@highway man
penyandang cacat	@disabled people
penyandera	@hostager
penyanderaan	@reclination
penyanderaan karena hutang	@imprisonment for debt
penyangga	@prop
penyangga/bantalan	@buffer
penyangga hewan	@cowcatcher
penyangkalan	@abjuration
penyanjung	@flatterer
penyantiran akustik	@acoustic imaging
penyanyi	@singer	<br>@vocalist
penyanyi bersama	@chorister
penyanyi bersuara bass	@basso
penyanyi lagu	@folk singer
penyanyi lagu pop	@pop singer
penyanyi pengembara	@minstrel
penyanyi perempuan	@chantress
penyanyi sopran	@soprano
penyanyi terkenal	@popular singer
penyapu	@sweeper
penyapu jalan	@street sweeper
penyapu salju	@snow blower
penyaring	@sifter	<br>@percolator
penyaring aliran	@fluid stainer
penyaringan produk	@product screening
penyaring debu	@ash sieve
penyaring gambar tv	@scanner
penyaring udara	@inhaler	<br>@air-strainer
penyatuan aliran	@syncretism
penyatuan kembali	@reunification
penyatuan kepentingan	@pooling of interest
penyayang	@mercifulness
penyearah gelombang-paruh	@half-wave rectification
penyearah gelombang-penuh	@full wave rectifier
penyearah hablur	@crystal rectifier
penyearah jembatan	@bridge rectifier
penyebab	@cause of
penyebab alergi	@allergen
penyebab kekacauan	@stormypetrel
penyebab sakit hati	@mischiefmaking
penyebab sariawan	@cankerous
penyebab tidak langsung	@indirect cause
penyebab utama	@the root cause
penyebab utama dari	@primary cause of
penyebar	@spreader
penyebaran	@disbursement	<br>@deployment
penyebaran agama kristen	@evangelism
penyebaran berkas	@beam divergence
penyebaran eksklusif	@exclusive distribution
penyebaran gelombang	@band spread
penyebaran inframerah	@infrared divergence
penyebaran kewenangan	@dispersion of authority
penyebaran/perembesan	@permeation
penyebaran zat alkohol	@alcoholic dispersion
penyebar gosip jelek	@scandalmongering
penyeberang	@defector
penyeberangan	@defection
penyeberangan dengan lampu	@panda crossing
penyeberangan di tengah jalan	@traffic island
penyeberangan jalan	@crossover	<br>@zebracrossing
penyeberang jalan sembrono	@jaywalker
penyebut	@denominator
penyebutan satu per satu	@enumeration
penyebut nama penting sebagaikenalan	@name dropper
penyederhanaan	@simplification
penyederhanaan berlebih	@oversimplification
penyederhanaan kerja	@simplification of work
penyedia	@provider
penyedia air	@water supplier
penyediaan makanan	@fixing the meal
penyediaan perlengkapan	@equipper
penyedia minyak	@oil supplier
penyedian modal	@capitalizer
penyedia tenaga kerja	@labor supply
penyegar	@refresher
penyegar udara	@aerosol
penyehatan	@recapitalization
penyehatan keuangan	@improve the sanitation
penyejukan blok bantalan	@cooling of the bearing
penyejukan dengan air	@water-cooling
penyejukan minyak	@oil-cooling	<br>@oil-cooled
penyejukan pompa	@forced water cooling
penyejukan termo sifon	@thermo-sifon cooling
penyejukan udara	@air cooling
penyejuk minyak transformator	@transformer oil-cooler
penyejuk pipa-pilin	@serpentine cooler
penyeka	@wiper
penyekalaan Feynman	@Feynman scaling
penyekat feromagnetik	@ferromagnetic insulators
penyekawanan G	@G-conjugation
penyekawanan kompleks	@complex conjugation
penyekawanan muatan	@charge conjugation
penyekawanan muatan Dirac	@Dirac charge conjugation
penyekawanan muatan Klein-Gordon	@Klein-Gordon charge conjugation
penyelam	@diver	<br>@skin diver
penyelaman	@submersion
penyelaman mutiara	@pearl diving
penyelamat	@rescuer	<br>@salvationist
penyelam mutiara	@pearl diver
penyela/pemutus arus	@interrupter
penyelarasan	@harmonization
penyelarasan tujuan	@garmonizing the objective
penyelenggara	@promoter
penyelenggaraan	@enforcement
penyelenggaraan kemudian	@after-treatment
penyelenggaraan pernikahan	@solemnization of the marriage	<br>@solemnization of a marriage
penyelesaian	@settling	<br>@completion	<br>@wind-up	<br>@fruition	<br>@settlement
penyelesaian gelombang-bidang persamaan Dirac	@plane-wave solutions to Dirac equation
penyelesaian keadaan terikat	@bound-state solutions
penyelesaian keadaan terikat persamaan Dirac	@bound-state solutions to Dirac equation
penyelesaian keseimbangan plasma	@plasma equilibrium solutions
penyelesaian kredit macet	@repreship
penyelesaian parasitik	@parasitic solution
penyelesaian sengketa dengan penengahan	@mediation
penyelesaian tenaga negatif	@negative energy solutions
penyelesaian tenaga negatif Dirac	@Dirac negative energy solutions
penyelesaian tenaga negatif untuk neutrino	@negative energy solutions for neutrino
penyelesaian tenaga negatif Weyl	@Weyl negative energy solutions
penyelesaian wajar	@fairshake
penyelesaian yang adil	@fair-shake
penyelesaian zarah bebas	@free particle solutions
penyelesaian zarah-bebas persamaan Dirac	@free-particle-solutions of Dirac equation
penyeleweng	@manipulator	<br>@deviationist
penyelewengan pajak	@tax-evasion
penyelia	@supervisor
penyelidik	@prober	<br>@searcher	<br>@investigator	<br>@inquirer	<br>@inquisitor	<br>@earcher	<br>@prospector
penyelidik alam	@naturalist
penyelidikan	@inquisition	<br>@interogation	<br>@exploratory	<br>@investigation	<br>@quest
penyelidikan diri	@self-inquisition
penyelidikan gaya udara	@aerodynamic examination
penyelidikan gerak dan waktu	@time and motion study
penyelidikan kesetiaan pada negara	@security clearance
penyelidikan kredit	@credit inquiry
penyelidikan oleh polisi	@police inuestigation
penyelidikan per teleskop	@telescopic experiment
penyelidikan udara	@air survey
penyelundup	@bootlegger	<br>@smuggler
penyelundupan senjata	@gunrunning
penyelundup senjata	@gunrunner
penyelundup senjata dan amunisi	@gun runner
penyematan	@affixing
penyembahan berhala	@paganism
penyembah benda mati	@animism
penyembah berhala	@idolater	<br>@paganist	<br>@pagan
penyembelihan	@butchery	<br>@castration
penyembuh	@healer	<br>@curer
penyembuhan	@recuperation	<br>@curence
penyembuhan dengan obat anti batuk	@antihistaminic healing
penyembuhan melalui doa	@faith healing
penyembuhan secara medis	@medical remedy
penyembunyian	@dissimulation
penyembur udara	@air nozzle
penyemenan buatan	@artificial cementry
penyemir	@polisher
penyemir sepatu	@bootblack
penyemperotan bahanbakar	@fuel injection
penyempitan gerak	@motional narrowing
penyempitan-magnetik negatif	@negative magnetostriction
penyempitan pipa	@constriction in pipe	<br>@baffled tube
penyempitan talang	@constriction in duct
penyempitan tukar	@exchange narrowing
penyemprot	@sprayer
penyemprot air	@gargoyle	<br>@gurgoyle
penyemprotan	@spraying
penyemprotan bahan bakar	@fuel spray
penyemprotan pendahuluan	@advance angle of	<br>@advance injection
penyemprot minyak	@fluid gun
penyemprot rambut	@hair sprayer
penyemprot/semburan	@gusher
penyemprot udara	@air-sprayer
penyempurnaan/keberhasilan	@consummation
penyempurnaan tatakerja	@work improvement
penyendiri	@loner
penyentuh katup pakai rol	@roller-tappet
penyepadanaan freknensi	@frequency matching
penyepadanan impedans	@impedance matching
penyepadanan kekisi	@lattice matching
penyepadanan tunggul	@stub matching
penyepit	@pincers
penyepuh	@gilder
penyepuhan keras dalam air	@water hardening
penyepuhan keras dalam minyak	@oil hardening
penyepuhan keras dalam udara	@hardening in the air
penyepuhan keras dengan penyejukan	@herdening by cooling
penyerahan	@hand over	<br>@transgerence	<br>@referral	<br>@delivery	<br>@abdication	<br>@cession	<br>@capitulation
penyerahan arus	@current output
penyerahan bagasi	@delivery of luggage
penyerahan hak kembali	@reabandonment
penyerahan hak milik	@transfer of property
penyerahan kalor	@abstraction heat
penyerahan kembali hak milik kepada pemiliknya	@delivering right of possession to the owner
penyerahan kesidang pengadilan	@remittal
penyerahan surat dagang atau cek	@delivery of bill or cheque
penyerahan tak lancar	@bad delivery
penyerahan yuridis	@juridicial of delivery
penyerang	@besieger	<br>@attacker
penyerangan	@offence
penyerang/ penuntut	@charger
penyerap	@getter	<br>@absorbent
penyerapa	@personalit
penyerapan	@absorption
penyerapan air	@absorption of water
penyerapan bahang	@heat absorption
penyerapan biaya	@cost absorption
penyerapan cahaya	@light absorption
penyerapan inframerah	@infra red absorption	<br>@infrared absorption
penyerapan janggal	@anomalous absorption
penyerapan kepribadian	@personality absorvation
penyerapan optis	@optical absorption
penyerapan selektif	@selective absorption
penyerap bahang	@heat absorber
penyerap debu	@desiccant
penyerap neutron	@neutron absorber
penyerap takberpori	@nonporous absorber
penyerasi	@active agent
penyerbu	@assailant	<br>@invader
penyerbukan	@pollination
penyerbukan silang	@crossfertilization
penyerempakan jam	@clock synchronization
penyergap	@interceptor
penyerobot	@sneak thief
penyerongan	@beveling
penyerongan-tepi	@bevelled edge
penyesalan	@penitance	<br>@contrition	<br>@penitence	<br>@remorse
penyesuai/adjuster	@adjuster
penyesuaian	@adjustmen	<br>@conformation	<br>@conformity	<br>@adjustment
penyesuaian akhir tahun	@year end adjustment
penyesuaian diri	@acclimatization
penyesuaian ke dalam	@adjustment in
penyesuaian ke luar	@adjustment out
penyesuaian kepribadian	@personality adjustment
penyesuaian teknologi	@adjustment of technology
penyesuaian teknology	@adaptation of technology
penyesuaian titik nol	@zero-adjustment
penyesuaian ulang	@readjustment
penyetelan katup	@valve-timing
penyetelan rem	@brake adjustment
penyetelan seksama	@tuning in
penyetelan sinar	@syntonization
penyetelan yang baik	@sharp-turning
penyetel borstel	@brush rocker
penyetokan ulang	@restocking
penyetrika otomatis	@automatic garment press
penyewa	@renter	<br>@tenant	<br>@hirer	<br>@lessee	<br>@leaseholder
penyewaan buku	@lending library
penyewa kamar	@roomer
penyiangan	@weeding
penyiar	@crier	<br>@announcer
penyiaran	@broadcasting
penyiaran radio	@broardcasting
penyiaran terarah	@directional transmission
penyiar berita olahraga	@sportscaster
penyiar gelombang panjang	@long wave transmitter
penyiar otomat	@automatic sender
penyiar radio	@broadcaster
penyiar warta berita	@newscaster
penyigian panas-bumi geotermik	@geothermic surveying
penyihir	@enchanter
penyihir wanita	@enchantress
penyikatan	@brushing
penyiksa	@persecutor
penyiksaan	@persecution	<br>@castigation
penyimpan	@depositor
penyimpanan	@bailment	<br>@depository
penyimpanan aman	@safekeeping
penyimpanan barang	@stowage
penyimpanan data	@data storage
penyimpanan data komputer	@computerize
penyimpanan imbas	@inductive storage
penyimpanan modal	@capital saving
penyimpanan surat-surat	@records retention
penyimpan batubara	@coal hold
penyimpangan	@bias	<br>@volume wriance	<br>@deviations	<br>@divergence	<br>@distortion	<br>@digression	<br>@deviation	<br>@aberration	<br>@irrelevance	<br>@divergency
penyimpangan antisipasi	@distortion of judgement
penyimpangan cahaya	@deflection of light
penyimpangan dalam isi	@volume variance
penyimpangan efisiensi biaya variabel	@variable efficiency variance
penyimpangan efisiensi yang te	@fixed efficency variance
penyimpangan efisiensi yang tetap	@fixed efficiency variance
penyimpangan harga bahan	@raw material price variance
penyimpangan harga bahan baku	@material price variance
penyimpangan hasil	@yield variance
penyimpangan jumlah penggunaan bahan	@raw material usage variance
penyimpangan negatif	@negative deviation
penyimpangan pembantu	@auxiliary depository
penyimpangan perjalanan	@voyage deviation
penyimpangan rute	@route deviation
penyimpangan tarif	@rate variance
penyimpangan tarif pekerja	@labor rate variance
penyimpangan terkendali	@controllable variance
penyimpangan tingkat upah	@rate wage variance
penyimpangan waktu	@time lag	<br>@time variance
penyimpangan yang baik	@favourable variance
penyimpangan yang menguntungkan	@favorable variance
penyimpangan yang merugikan	@inJauourable variance
penyinarabaran	@bremsstrahlung radiation
penyinaran	@X-ray
penyinaran alami	@natural radiation
penyinaranbaur sempurna	@perfectly-diffuse radiator
penyinaran benda-hitam	@black body radiation
penyinaran elektromagnetik	@electromagnetic radiation
penyinaran gamma	@gamma radiation
penyinaran inframerah	@infrared radiation	<br>@inffared radiation
penyinaran kutub-banyak	@multipole radiation
penyinaran malaran	@continuum radiation
penyinaran primer	@primary radiation
penyinaran saki	@residual radiation
penyinaran sinkrotron	@synchrotron radiation
penyinaran termal	@thermal radiation
penyinar baur-pokta	@perfectly diffuse radiation
penyinar ideal	@ideal radiator
penyinar isotrop	@isotropic radiator
penyinar pokta	@perfect radiator
penyinar rongga	@cavity radiator
penyinar selektif	@selective radiator
penyindir	@satirist
penyingkapan	@disclosure
penyingkatan ucapan	@syncope
penyisihan	@appropriation
penyisihan dana untuk investasi jangka panjang	@long term investment in fund
penyisihan dana untuk jangka panjang	@long-term fund
penyisihan uang berkala	@amortization
penyisihan untuk piutang tak tertagih	@allowance for doubtful account
penyisipan	@insertion
penyita	@confiscator
penyitaan	@confiscation	<br>@citement
penyitaan barang [disewa/digadai]	@distraint
penyitaan upah	@wages sequestration
penyobek	@ripper
penyokong	@contributor
penyokong parlemen Inggris	@Roundhead
penyolderan dengan otogen	@autogenous soldering
penyombong	@bluffer
penyontekan	@cribbing
penyortiran	@sorting
penyu	@terrapin
penyuaian-susut	@tight fit for shrinking on
penyuapan	@bribery
penyuara corong	@horn loud-speaker
penyuara dinamik	@dynamic speaker
penyuara pancar langsung	@direct radiator loudspeaker
penyucian jiwa	@cleansing of the soul
penyucian/pentahbisan	@consecration
penyuci-hamaan	@disinfection
penyuling	@refiner
penyulingan	@distillation
penyulingan minuman keras	@distiller
penyulingan minyak	@refining-works	<br>@oil refinery
penyulingan minyak tanah	@oildistillation
penyulingan/perbaikan	@refinement
penyuluh	@extension agent
penyuluhan kepegawaian	@personnel counseling
penyuluhan terarah	@directive counseling
penyuluhan terbuka	@non-directive counseling
penyumbang perorangan	@individual contributor
penyumbat telinga	@earplung
penyuntikan	@insemination
penyuntikan zarah	@particle injection
penyunting	@transcriber
penyuntingan	@redaction
penyunting koran kota	@city editor
penyurihan sinar	@ray tracing
penyurvaian sinar-gama	@gamma-ray surveying
penyusu bayi orang lain	@wet-nurse
penyusunan kembali	@rearrangement	<br>@realignment
penyusunan/pemeriksaan	@collation
penyusunan rangkaian kereta api	@making up of train
penyusupan/perembesan	@infiltration
penyusutan	@abatement	<br>@shrinkage	<br>@inshrinking	<br>@depreciation
penyusutan akumulasi	@accumulation depreciation
penyusutan dengan jumlah unitkeluaran	@unit of output depreciation
penyusutan Fitz-Gerald-Lorentz	@Fitz-Gerald-Lorentz contraction
penyusutan gedung	@building depreciation
penyusutan saput	@film shrinkage
peon	@buruh harian/pion
peonage	@praktek kerja rodi
peony	@tumbuhan semak peony
people	@orang-orang
people-handling	@menangani orang
people management	@manajemen masyarakat
people manager	@manager untuk orang lain
people mover	@kendaraan angkut
people of ten	@satu dari sepuluh orang
peoples	@orang-orang
people's	@masyarakat
people that you meet	@orang yang anda temui
peopling	@penempatan penghuni
peopling worlds	@penciptaan penghuni dunia
pep	@memberi semangat
pepatah	@adage	<br>@proverb
pepatah/ejekan	@byword
pepaya	@papaya
peperangan	@warfare
pepped	@memberi semangat
pepped up	@menghidupkan semangat
pepper	@membubuhi merica
pepper and salt	@warna abu-abu
peppercorn	@biji mrica
peppered	@membubuhi mrica
peppering	@membubuhi mrica
peppermill	@alat menggiling lada
peppermint	@permen
pepperpot	@botol kecil penyimpan merica
peppery	@pedas
pepping	@memberi semangat
pepping up	@menghidupkan semangat
peppy	@segar
pepsin	@pepsin
pep talk	@percakapan memberi semangat
peptic	@berkenaan dengan pencernaan
peptic ulcer	@bisul perut
pep up	@menghidupkan semangat
per	@as per	<br>@saban
peraba/penyelidik	@feeler
peraba setelan katup	@valve reamer
perabot	@fittings
perabotan	@housewares
perabotan perang	@war equipment
perabot rumah	@appoinments
perabot rumah tangga	@funiture	<br>@article of furniture
peracun	@poisoner
peracunan xenon	@xenon poisoning
peradaban	@civilization
[peradaban, sopan santun]	@courteousness
peradangan	@inflamation
peradilan agama	@religion court
peradilan anak-anak	@children jurisdiction
peradilan militer	@martial court	<br>@military of jurisdiction
peradilan pidana	@criminal justice
peradilan tata usaha negara	@civil service arbitration tribunal
peradilan umum	@general court
peradventur	@barangkali
peraga	@demonstrator
peragaan olahraga air	@aquacade
peragaan penjualan	@sales display
peragangan	@mercantile
peragawati/manekin	@mannequin
peragian	@fermentation
perahasiaan	@concealment
perahu	@boat	<br>@ark	<br>@skiff	<br>@boat's
perahu dayung	@rowboat
perahu dengan dua lambung	@catamaran
perahu kecil	@dinghy
perahu kecil di kapal	@jolly boat
perahu layar	@sail vessel	<br>@sail ship	<br>@sailboat	<br>@sail boat
perahu lebar dan dangkal	@punt
perahu lesung	@canoe
perahu motor	@motorboat
perahu-motor	@motor-vessel	<br>@motor-boat
perahu motor	@powerboat
perahu motor cepat	@speedboat
perahu motor dalam kapal	@pinnace
perahu motorspeed-up	@speed boat
perahu nabi Nuh	@Noah's ark
perahu pemadam kebakaran	@fireboat
perairan	@waters
perairan Indonesia	@Indonesian waters
perairan internasional	@international waters
perairan pantai	@coastal waters
perairan pedalaman	@inland waters
perairan pelabuhan	@harbor waters	<br>@harbour waters
perairan teritohal	@territorial waters
perairan t nasional	@national-territorial waters
perajut	@knitter
perak	@silver
perak baru putih	@white copper
perak batang	@bar silver
perak cina	@chine silver
perak daun	@leaf-silver
perakitan	@assembly
perak-niket	@nickel-silver
peralatan	@appliance	<br>@equipment
peralatan di lapangan	@on-site resources
peralatan kantor	@office equipment
peralatan kedokteran	@medical equipment
peralatan kuda yang terbuat dari kulit	@saddlery
peralatan Lang	@Lang equipment
peralatan olahraga	@sports equipment
peralatan papan hubung	@switch-board instrument
peralatan pengolahan data	@data processing equipment
peralatan perang	@armament
peralatan potong dan sambung	@joining and cutting equipment
peralatan radio	@radio equipment
peralatan sambung	@joining equipment
peralatan selam	@scuba
peralatan tegangan tinggi	@high-tension apparatus
peralatan tetap	@fixture
peralatan toko	@store equipment
peralatan uji	@testing equipment
peralatan yang sempurna	@perfect tool
peralat Maksutov	@Maksutov corrector
peralihan	@trancitory	<br>@switchover	<br>@devolution
peralihan benah jemplah	@order-disorder transifion	<br>@order-disorder transition
peralihan cair-uap	@liquid-vapour transition
peralihan cair-zadat	@Liquid-solid transition
peralihan elektromagnetik	@electromagnetic transitions
peralihan elektron	@electron transition
peralihan fase	@phase transition
peralihan fase malar	@continuous phase transition
peralihan fase tingkat pertama	@first-order phase transition
peralihan jalan kereta api	@railway-overbridge
peralihan nirsinar	@radiationless transition
peralihan optis langsung	@direct optical transition
peralihan sentris	@centric transition
peramah	@warm-hearted	<br>@back slapper	<br>@humane
peramal	@forecaster	<br>@prescience	<br>@augur	<br>@predictor	<br>@clairvoyant
peramalan dengan angka	@numerology
peramalan gempa-bumi	@earthquake prediction
peramalan jangka panjang	@long-term forecasting
peramalan pasar	@market forecasting
peramalan penjualan	@sales forecasting
peramal cuaca	@weatherman
perambatan gelombang	@wave propagation
perambatan taklinear	@nonlinear propagation
perambat bingkis Gauss	@Gaussian packet propagator
perambat elektron	@electron propagator
perambat fermion	@fermion propagator
perambat Feyaman	@Feynman propagator
perambat pengalun selaras	@harmonic oscillator propagator
perambat sinaran elektromagnetik	@electromagnetic radiation propagators
perambat zarah bebas	@free particle propagator
perambuan	@beaconing
perambulate	@berjalan menyusuri
perambulated	@berjalan menyusuri
perambulating	@berjalan menyusuri
perambulation	@perjalanan menyusuri
perambulator	@kereta bayi
perampas	@plunderer
perampasan	@deprivation	<br>@seizure
perampasan jiwa atas permintaan yang bersangkutan	@life robbing
perampas kuasa	@usurper
perampok	@marauder	<br>@mugger	<br>@robber	<br>@brigand
perampokan	@robbery	<br>@robberies	<br>@holdup	<br>@foray	<br>@rapine	<br>@depredation	<br>@piracy
perampokan di siang hari	@daylight robbery
perampok bank	@bank robber
perampok bersenjata api	@gunmen
perampok kuburan	@grave robber
peran	@role
peranakan	@halfblooded
peranan	@counterfei	<br>@ascribel	<br>@taintenance
peranan dasar	@basic role
peranan diprediksi	@predicated role
peranan diri	@role self
peranan ekspresif	@expressive role
peranan indeks	@index role
peranan kedudukan	@status role
peranan minyak	@oil role
peranan palsu	@counterfeit role
peranan pekerja	@work role
peranan pekerjaan	@occupation role
peranan pemeliharaan	@maintenance role
peranan penjiwaan	@internalized role
peranan sosial	@social role
peranan tertentu	@specific role
peranan umum	@generalized role	<br>@general role
peranan umur	@age role
peranan utama dari sandiwara	@title role
peranan warisan	@ascribed role
peranan yang dapat mengubah	@adaptive role
peranan yang dicapai	@achieved role
perancah	@scaffolding	<br>@scaffold
perancang	@draftsman	<br>@designer
perancangan	@design of
perancangan dekorasi	@inreior design
perancang topi wanita	@miliner
Perancis	@France	<br>@French	<br>@Frecnh
perang	@war
perangai	@temperament
perangai/penusuk	@temper
perang antar umat manusia	@human warfare
perangb-milly	@oil trap
perang dingin	@cold war
perang (di) udara	@air war
perang dunia	@world war
perang dunia I	@world war I
perang dunia II	@world war II
perang dunia ke due	@second world war
perang dunia pertama	@first world war	<br>@Great war
perang gerilya	@guerrilla war
perang harga	@price war
perangkap	@pitfall
perangkap arang	@charcoal trap
perangkap bagi pelanggar kecepatan	@speed trap
perangkap dingin	@cold traps
perangkap dingin jenis Meissner	@Meissner type cold trap
perangkap elektron	@electron trap
perangkap jalur-awal	@fore-line trap
perangkap jalur-penyangga	@backing-line trap
perangkap jerap	@adsorption trap
perangkap karbon aktif	@active carbon trap
perangkap kerjang	@foil traps
perangkap kriosublimasi	@cryosublimation trap
perangkap logam raksasa alkali	@alkali metal mercury
perangkap Penning	@Penning trap
perangkap serap	@absorbing trap
perangkap serapan	@absorption trap
perangkap tikus	@ratcatcher	<br>@rat-trap	<br>@mousetrap	<br>@mouse trap
perangkap udang dari kayu	@lobsterpot
perangkat keras	@hardware
perangkat keras dan lunak	@hardware and software
perangkat keras teknologi	@hardwares of technology
perangkat lunak	@software
perangkat lunak teknologi	@softwares of technology
perangkat organisasi	@orgware
perangkat pencatu	@feeding device
perangkat pendarat	@landing-gear
perangkat peranan	@set role	<br>@role set
perangkat sumbu badan	@body set of axes
perangko	@poststamp	<br>@postage stamp
perang kompetisi	@competitive batle
perang kuman	@bacteriological warfare
perang lokal	@locat war
perang mulut; berselisih	@getting to high words	<br>@got to high words
perang-perangan	@maneuvers
